engine_type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
Piston,340.0,208.0,186.0,70.0,214,1375.0,1675.0,2107.0,8200.0,4995.0,35.0,50.0,755.0,3000000.0
Piston,340.0,208.0,186.0,70.0,214,1300.0,1560.0,1750.0,7700.0,4980.0,35.0,45.0,755.0,3130000.0
Piston,340.0,200.0,186.0,70.0,180,1300.0,1700.0,1980.0,7700.0,4640.0,33.0,45.0,630.0,2700000.0
Piston,380.0,246.0,233.0,73.0,142,1601.0,2626.0,3065.0,6775.0,4425.0,33.0,39.0,1010.0,3000000.0
Piston,380.0,249.0,240.0,76.0,142,1601.0,2626.0,3065.0,6775.0,4175.0,33.0,39.0,824.0,3080000.0
Piston,380.0,249.0,236.0,76.0,142,1615.0,1660.0,2340.0,6725.0,4100.0,33.0,39.0,824.0,3130000.0
Piston,450.0,204.0,191.0,76.0,198,1400.0,2072.0,1850.0,9900.0,5845.0,35.0,49.0,622.0,2030000.0
Piston,450.0,200.0,186.0,73.0,275,1410.0,1980.0,1850.0,9700.0,5910.0,35.0,49.0,880.0,2140000.0
Piston,450.0,203.0,187.0,71.0,206,1250.0,2079.0,1569.0,9300.0,6150.0,33.0,47.0,638.0,2300000.0
Piston,450.0,200.0,183.0,67.0,206,1190.0,1760.0,1460.0,8750.0,5770.0,33.0,47.0,632.0,2050000.0
Piston,340.0,204.0,180.0,72.0,180,1270.0,1250.0,1840.0,7300.0,4480.0,31.0,45.0,787.0,2950000.0
Piston,340.0,209.0,184.0,72.0,180,1320.0,1250.0,1840.0,7000.0,4460.0,31.0,45.0,813.0,2950000.0
Piston,295.0,186.0,178.0,62.0,134,1450.0,1260.0,1452.0,6300.0,4100.0,31.0,45.0,670.0,2000000.0
Piston,275.0,178.0,161.0,60.0,134,1450.0,1260.0,1375.0,6000.0,3956.0,31.0,45.0,726.0,2000000.0
Piston,260.0,177.0,159.0,60.0,134,1450.0,1344.0,1215.0,6000.0,3940.0,31.0,45.0,733.0,2000000.0
Piston,260.0,177.0,158.0,56.0,134,1450.0,1350.0,1215.0,5500.0,3800.0,31.0,45.0,722.0,1900000.0
Piston,325.0,261.0,232.0,78.0,166,1475.0,2643.0,2427.0,6200.0,4026.0,29.0,37.0,1013.0,2500000.0
Piston,310.0,256.0,214.0,79.0,166,1529.0,2376.0,2498.0,6100.0,3985.0,29.0,37.0,1130.0,2500000.0
Piston,310.0,231.0,207.0,79.0,166,1424.0,2761.0,2498.0,6100.0,3985.0,29.0,37.0,1104.0,2500000.0
Piston,325.0,261.0,232.0,78.0,166,1475.0,2643.0,2427.0,6200.0,3788.0,29.0,37.0,1013.0,2500000.0
Piston,310.0,250.0,214.0,79.0,166,1461.0,2376.0,2498.0,6100.0,3780.0,29.0,37.0,1130.0,2500000.0
Piston,300.0,208.0,195.0,74.0,136,1750.0,2371.0,2498.0,5500.0,3443.0,29.0,37.0,1109.0,2068800.0
Piston,285.0,208.0,195.0,74.0,136,1660.0,2101.0,2498.0,5400.0,3361.0,29.0,37.0,1109.0,1860000.0
Piston,380.0,252.0,247.0,73.0,142,2020.0,1420.0,2080.0,5990.0,3700.0,29.0,37.0,737.0,3220000.0
Piston,380.0,252.0,247.0,73.0,142,2020.0,1420.0,2080.0,5990.0,3650.0,28.0,37.0,737.0,3220000.0
Piston,285.0,208.0,195.0,73.0,100,1682.0,968.0,1414.0,5300.0,3291.0,29.0,37.0,934.0,1910000.0
Piston,285.0,210.0,200.0,67.0,112,1670.0,968.0,1414.0,5300.0,3075.0,28.0,37.0,550.0,2090000.0
Piston,260.0,201.0,184.0,73.0,100,1693.0,2154.0,2148.0,5100.0,3236.0,28.0,37.0,739.0,1930000.0
Piston,260.0,205.0,196.0,68.0,112,1670.0,1225.0,1370.0,5100.0,3075.0,27.0,37.0,763.0,1970000.0
Piston,260.0,200.0,191.0,66.0,112,1700.0,1700.0,1470.0,4880.0,2960.0,26.0,37.0,745.0,1950000.0
Piston,260.0,200.0,191.0,66.0,112,1630.0,1700.0,1470.0,4880.0,2960.0,25.0,37.0,745.0,1920000.0
Piston,180.0,183.0,174.0,61.0,80,1250.0,1280.0,1590.0,4200.0,2650.0,25.0,37.0,661.0,1810000.0
Piston,180.0,183.0,174.0,61.0,80,1250.0,2100.0,1850.0,4200.0,2635.0,25.0,37.0,661.0,1810000.0
Piston,180.0,183.0,170.0,61.0,80,1250.0,2100.0,1850.0,4100.0,2635.0,25.0,37.0,661.0,1810000.0
Piston,180.0,171.0,158.0,60.0,100,1248.0,2119.0,1881.0,3900.0,2460.0,29.0,38.0,843.0,1965000.0
Piston,300.0,213.0,190.0,57.0,102,1049.0,2364.0,1692.0,3850.0,2338.0,27.0,37.0,957.0,2500000.0
Piston,300.0,214.0,190.0,57.0,74,1165.0,2012.0,1449.0,3650.0,2278.0,27.0,33.0,800.0,2500000.0
Piston,300.0,184.0,169.0,59.0,74,1210.0,1913.0,1473.0,3650.0,2247.0,27.0,33.0,720.0,1850000.0
Piston,285.0,179.0,168.0,52.0,74,1030.0,2040.0,1450.0,3600.0,2195.0,27.0,33.0,697.0,1660000.0
Piston,285.0,177.0,170.0,56.0,50,1015.0,1525.0,1240.0,3600.0,1980.0,26.0,32.0,510.0,1600000.0
Piston,285.0,217.0,200.0,55.0,50,1225.0,1320.0,1177.0,3400.0,2027.0,26.0,33.0,600.0,2950000.0
Piston,285.0,183.0,177.0,55.0,44,1136.0,1320.0,1177.0,3400.0,1960.0,26.0,33.0,536.0,1750000.0
Piston,285.0,209.0,195.0,55.0,50,1225.0,1320.0,1177.0,3400.0,1950.0,26.0,33.0,580.0,2660000.0
Piston,285.0,183.0,177.0,55.0,50,1136.0,1320.0,1177.0,3400.0,1915.0,26.0,33.0,543.0,1750000.0
Piston,285.0,184.0,178.0,54.0,50,1200.0,1225.0,1150.0,3300.0,1915.0,26.0,33.0,543.0,1830000.0
Piston,260.0,178.0,170.0,52.0,50,1150.0,1260.0,1100.0,3125.0,1855.0,25.0,33.0,535.0,1920000.0
Piston,250.0,183.0,170.0,52.0,49,1170.0,1185.0,1050.0,2950.0,1832.0,25.0,33.0,495.0,2000000.0
Piston,250.0,183.0,174.0,50.0,39,1250.0,1175.0,1050.0,2900.0,1820.0,25.0,32.0,492.0,2130000.0
Piston,240.0,179.0,165.0,50.0,39,1225.0,1260.0,1050.0,2900.0,1820.0,25.0,32.0,470.0,1980000.0
Piston,225.0,169.0,160.0,48.0,39,1300.0,1270.0,1025.0,2775.0,1722.0,25.0,32.0,550.0,1900000.0
Piston,205.0,165.0,152.0,48.0,39,1100.0,1500.0,975.0,2700.0,1650.0,25.0,32.0,510.0,1800000.0
Piston,196.0,160.0,148.0,49.0,39,890.0,1515.0,950.0,2650.0,1575.0,25.0,32.0,470.0,1710000.0
Piston,185.0,160.0,150.0,48.0,39,950.0,1440.0,925.0,2550.0,1458.0,25.0,32.0,530.0,1800000.0
Piston,260.0,177.0,168.0,49.0,50,1060.0,1516.0,1150.0,3300.0,1935.0,25.0,32.0,513.0,1660000.0
Piston,285.0,181.0,174.0,53.0,50,1200.0,1225.0,1150.0,3300.0,1918.0,25.0,32.0,520.0,1830000.0
Piston,285.0,182.0,172.0,51.0,74,1167.0,1769.0,1324.0,3400.0,2125.0,26.0,33.0,717.0,1785800.0
Piston,285.0,181.0,174.0,53.0,50,1200.0,1225.0,1150.0,3300.0,1915.0,25.0,32.0,520.0,1830000.0
Piston,225.0,170.0,161.0,52.0,50,930.0,1288.0,1298.0,3050.0,1862.0,25.0,32.0,520.0,1780000.0
Piston,285.0,181.0,174.0,53.0,50,1200.0,1225.0,1150.0,3300.0,1775.0,25.0,32.0,520.0,1830000.0
Piston,225.0,170.0,161.0,52.0,50,980.0,1288.0,1298.0,3050.0,1854.0,25.0,32.0,568.0,1830000.0
Piston,225.0,170.0,161.0,52.0,50,960.0,1235.0,1282.0,3000.0,1745.0,25.0,32.0,568.0,1840000.0
Piston,225.0,170.0,161.0,52.0,50,1010.0,1235.0,1282.0,2900.0,1730.0,25.0,32.0,550.0,1980000.0
Piston,200.0,145.0,137.0,60.0,57,927.0,1561.0,1462.0,2750.0,1696.0,25.0,32.0,647.0,1538500.0
Piston,200.0,140.0,131.0,55.0,52,891.0,1804.0,1519.0,2750.0,1711.0,25.0,32.0,591.0,1434200.0
Piston,200.0,148.0,141.0,57.0,58,862.0,1630.0,1380.0,2750.0,1610.0,25.0,32.0,704.0,1435000.0
Piston,200.0,137.0,130.0,52.0,60,880.0,1380.0,1300.0,2550.0,1410.0,25.0,32.0,643.0,1485000.0
Piston,180.0,128.0,116.0,51.0,57,792.0,1955.0,1484.0,2450.0,1494.0,25.0,32.0,565.0,1260000.0
Piston,180.0,127.0,120.0,50.0,60,728.0,1460.0,1260.0,2400.0,1375.0,25.0,32.0,565.0,1187000.0
Piston,165.0,127.0,120.0,50.0,60,880.0,1460.0,1260.0,2350.0,1325.0,25.0,32.0,565.0,1187000.0
Piston,160.0,123.0,111.0,52.0,60,720.0,1275.0,1260.0,2300.0,1300.0,25.0,32.0,800.0,1350000.0
Piston,150.0,110.0,107.0,50.0,57,680.0,1635.0,1693.0,2150.0,1414.0,25.0,32.0,643.0,1165000.0
Piston,150.0,122.0,114.0,48.0,60,900.0,1255.0,1220.0,2200.0,1325.0,25.0,32.0,800.0,1490000.0
Piston,115.0,106.0,97.0,47.0,29,720.0,1280.0,1313.0,1675.0,1103.0,24.0,30.0,370.0,1290000.0
Piston,300.0,193.0,187.0,61.0,68,1170.0,1420.0,1340.0,3325.0,2372.0,26.0,34.0,760.0,2400000.0
Piston,300.0,174.0,165.0,61.0,68,1170.0,1420.0,1340.0,3325.0,2247.0,26.0,34.0,483.0,1820000.0
Piston,250.0,193.0,187.0,54.0,72,1800.0,890.0,1100.0,3200.0,2010.0,23.0,34.0,760.0,2400000.0
Piston,300.0,181.0,176.0,61.0,68,1210.0,1420.0,1340.0,3325.0,2185.0,26.0,34.0,550.0,2000000.0
Piston,300.0,166.0,163.0,61.0,60,1085.0,1420.0,1340.0,3325.0,2217.0,26.0,34.0,550.0,1700000.0
Piston,300.0,167.0,163.0,54.0,58,1840.0,890.0,1050.0,3200.0,1900.0,23.0,34.0,550.0,2100000.0
Piston,260.0,181.0,177.0,54.0,58,1500.0,990.0,825.0,3000.0,1750.0,23.0,34.0,639.0,2250000.0
Piston,230.0,179.0,170.0,42.0,40,1400.0,1025.0,1150.0,2700.0,1640.0,22.0,34.0,452.0,2000000.0
Piston,190.0,174.0,157.0,38.0,40,1250.0,1270.0,1025.0,2600.0,1575.0,23.0,34.0,435.0,2150000.0
Piston,150.0,147.0,130.0,38.0,40,1100.0,1350.0,975.0,2100.0,1520.0,21.0,34.0,591.0,1950000.0
Jet,3500.0,491.0,460.0,99.0,7400,4340.0,4972.0,3075.0,18300.0,9838.0,48.0,39.0,2289.0,4500000.0
Jet,3500.0,477.0,441.0,105.0,7431,5100.0,4080.0,3105.0,17000.0,8802.0,48.0,39.0,2289.0,4500000.0
Jet,3500.0,471.0,460.0,99.0,6198,4760.0,4972.0,3075.0,18300.0,9838.0,48.0,39.0,1818.0,4500000.0
Jet,3500.0,477.0,441.0,105.0,6171,5100.0,4080.0,3105.0,17000.0,8762.0,48.0,39.0,1818.0,4500000.0
Jet,2950.0,478.0,441.0,79.0,5373,6110.0,2880.0,2220.0,15000.0,8157.0,47.0,43.0,1546.0,4790000.0
Jet,2950.0,475.0,441.0,79.0,4704,6350.0,2630.0,2220.0,15000.0,8195.0,47.0,43.0,1450.0,4880000.0
Jet,2950.0,464.0,459.0,97.0,6098,6830.0,3937.0,2817.0,15000.0,7950.0,47.0,35.0,1431.0,5100000.0
Jet,2950.0,464.0,441.0,104.0,6098,6050.0,5186.0,3090.0,15000.0,7355.0,47.0,35.0,1450.0,4500000.0
Jet,2950.0,464.0,441.0,104.0,7464,6050.0,5186.0,3090.0,15000.0,7233.0,47.0,35.0,1525.0,4500000.0
Jet,2950.0,477.0,442.0,90.0,6098,6050.0,5186.0,2703.0,15000.0,7206.0,47.0,35.0,1385.0,4500000.0
Jet,2950.0,475.0,441.0,88.0,5628,7100.0,3297.0,2873.0,13500.0,7130.0,43.0,35.0,1001.0,4500000.0
Jet,2950.0,477.0,441.0,88.0,4791,7220.0,3000.0,2789.0,12900.0,7025.0,43.0,35.0,730.0,4500000.0
Jet,2950.0,464.0,441.0,99.0,5628,6800.0,3917.0,2800.0,13500.0,6988.0,43.0,35.0,1001.0,4500000.0
Jet,2950.0,477.0,442.0,87.0,840,6800.0,3917.0,2703.0,13500.0,6803.0,43.0,35.0,1001.0,4500000.0
Jet,2950.0,461.0,442.0,88.0,715,6900.0,3370.0,2850.0,12500.0,6519.0,43.0,35.0,1385.0,4500000.0
Jet,2950.0,474.0,437.0,88.0,834,6300.0,3100.0,3307.0,13500.0,6927.0,43.0,35.0,1001.0,4500000.0
Jet,2850.0,469.0,417.0,90.0,847,6300.0,3100.0,3350.0,13000.0,7090.0,43.0,35.0,1100.0,4100000.0
Jet,2850.0,488.0,423.0,89.0,828,6900.0,2940.0,2800.0,12500.0,6700.0,43.0,35.0,1000.0,4100000.0
Jet,4000.0,85.0,476.0,97.0,7385,4442.0,4690.0,2910.0,22450.0,13700.0,55.0,53.0,2300.0,5100000.0
Jet,3650.0,472.0,461.0,97.0,7384,3699.0,5030.0,2900.0,22000.0,11811.0,55.0,53.0,2600.0,5100000.0
Jet,1900.0,71.0,380.0,85.0,3220,3311.0,3080.0,2750.0,10400.0,6550.0,42.0,46.0,1485.0,4100000.0
Propjet,625.0,295.0,283.0,76.0,475,2435.0,2465.0,1875.0,9850.0,5682.0,39.0,49.0,2193.0,3500000.0
Propjet,450.0,263.0,250.0,79.0,366,2027.0,2341.0,2145.0,8200.0,4915.0,35.0,44.0,1461.0,3470000.0
Piston,375.0,257.0,241.0,74.0,213,1940.0,2323.0,2293.0,7450.0,5048.0,36.0,41.0,1197.0,3020000.0
Piston,375.0,245.0,235.0,74.0,175,1850.0,2387.0,2178.0,7450.0,4426.0,36.0,41.0,845.0,3100000.0
Piston,375.0,240.0,227.0,76.0,175,1700.0,2516.0,2110.0,6840.0,4252.0,33.0,39.0,826.0,2600000.0
Piston,375.0,240.0,222.0,76.0,170,1700.0,2516.0,2110.0,6800.0,4237.0,33.0,39.0,826.0,2600000.0
Piston,310.0,235.0,224.0,72.0,213,1520.0,2595.0,2393.0,6750.0,4543.0,36.0,44.0,1099.0,3080000.0
Piston,310.0,239.0,224.0,70.0,102,1580.0,2350.0,1865.0,6350.0,4039.0,33.0,39.0,1090.0,3010000.0
Piston,340.0,231.0,214.0,72.0,175,1900.0,2010.0,1851.0,6500.0,3865.0,33.0,39.0,908.0,2600000.0
Piston,375.0,232.0,217.0,70.0,348,1575.0,2367.0,2130.0,8400.0,4965.0,39.0,46.0,553.0,2600000.0
Piston,325.0,230.0,213.0,68.0,213,1450.0,2195.0,2485.0,6850.0,4238.0,36.0,44.0,875.0,2690000.0
Piston,300.0,229.0,210.0,70.0,102,1610.0,2220.0,1765.0,6300.0,4038.0,36.0,39.0,1180.0,2618000.0
Piston,300.0,227.0,209.0,69.0,102,1610.0,2220.0,1765.0,6300.0,3719.0,35.0,39.0,833.0,2618000.0
Piston,300.0,227.0,209.0,69.0,102,1610.0,2220.0,1765.0,6300.0,3674.0,33.0,39.0,1102.0,2618000.0
Piston,310.0,243.0,229.0,71.0,102,1650.0,2175.0,1850.0,5990.0,4184.0,34.0,38.0,1106.0,2980000.0
Piston,285.0,226.0,210.0,71.0,102,1500.0,2430.0,1840.0,5975.0,3730.0,34.0,38.0,1258.0,2650000.0
Piston,300.0,230.0,215.0,71.0,102,1400.0,2365.0,1850.0,5990.0,3963.0,34.0,38.0,928.0,2680000.0
Piston,285.0,239.0,226.0,64.0,102,1924.0,1515.0,1734.0,5300.0,3273.0,29.0,36.0,735.0,2900000.0
Piston,260.0,229.0,213.0,63.0,102,1820.0,1584.0,1910.0,5200.0,3260.0,29.0,36.0,735.0,2810000.0
Piston,260.0,230.0,204.0,68.0,102,1820.0,1890.0,2056.0,4990.0,3190.0,29.0,36.0,740.0,2810000.0
Piston,285.0,237.0,223.0,70.0,102,1700.0,1662.0,1790.0,5500.0,3723.0,31.0,36.0,517.0,2740000.0
Piston,285.0,238.0,225.0,67.0,102,1790.0,1662.0,1790.0,5500.0,3292.0,29.0,36.0,807.0,2820000.0
Piston,285.0,239.0,226.0,66.0,102,1862.0,1590.0,1790.0,5400.0,3292.0,29.0,36.0,807.0,2860000.0
Piston,285.0,207.0,194.0,70.0,102,1662.0,1700.0,1790.0,5500.0,3603.0,31.0,36.0,661.0,1975000.0
Piston,260.0,205.0,192.0,63.0,102,1495.0,1795.0,1697.0,5300.0,3214.0,29.0,36.0,680.0,1950000.0
Piston,260.0,206.0,193.0,62.0,102,1540.0,1716.0,1673.0,5200.0,3170.0,29.0,36.0,676.0,1990000.0
Piston,260.0,206.0,193.0,65.0,102,1540.0,1716.0,1582.0,5200.0,3125.0,29.0,36.0,676.0,1990000.0
Piston,260.0,207.0,194.0,65.0,102,1590.0,1640.0,1540.0,5100.0,3094.0,29.0,36.0,687.0,2030000.0
Piston,260.0,209.0,194.0,65.0,102,1690.0,1545.0,1900.0,5100.0,3063.0,29.0,37.0,687.0,2110000.0
Piston,260.0,210.0,191.0,73.0,102,1800.0,1395.0,1720.0,4990.0,3049.0,29.0,36.0,678.0,2130000.0
Piston,240.0,191.0,178.0,71.0,102,1700.0,1375.0,1710.0,4600.0,2850.0,27.0,36.0,640.0,1950000.0
Piston,250.0,216.0,180.0,62.0,155,1480.0,1750.0,1450.0,5000.0,3305.0,30.0,38.0,835.0,2500000.0
Piston,225.0,211.0,204.0,62.0,150,1170.0,1500.0,1675.0,4700.0,3184.0,29.0,38.0,939.0,2000000.0
Piston,210.0,207.0,200.0,62.0,90,1160.0,1675.0,1650.0,4630.0,3038.0,29.0,38.0,1080.0,2000000.0
Piston,210.0,200.0,194.0,61.0,93,1105.0,1675.0,1650.0,4630.0,2850.0,29.0,38.0,920.0,2930000.0
Piston,210.0,201.0,195.0,61.0,93,1155.0,1595.0,1650.0,4500.0,2815.0,29.0,38.0,920.0,3010000.0
Piston,210.0,201.0,195.0,59.0,93,1155.0,1595.0,1520.0,4500.0,2795.0,29.0,38.0,920.0,3010000.0
Piston,210.0,202.0,196.0,57.0,93,1250.0,1490.0,1500.0,4300.0,2785.0,29.0,38.0,920.0,3100000.0
Piston,210.0,172.0,169.0,61.0,90,940.0,1675.0,1650.0,4630.0,2925.0,29.0,38.0,1139.0,1630000.0
Piston,210.0,173.0,165.0,61.0,93,1100.0,1675.0,1650.0,4630.0,2695.0,29.0,38.0,920.0,1800000.0
Piston,210.0,173.0,166.0,60.0,93,1180.0,1565.0,1650.0,4440.0,2660.0,29.0,38.0,922.0,1930000.0
Piston,210.0,173.0,166.0,60.0,93,1200.0,1545.0,1650.0,4400.0,2655.0,29.0,38.0,920.0,1950000.0
Piston,210.0,173.0,166.0,58.0,93,1200.0,1545.0,1520.0,4400.0,2650.0,29.0,38.0,922.0,1950000.0
Piston,210.0,174.0,167.0,57.0,93,1250.0,1490.0,1500.0,4300.0,2615.0,29.0,38.0,922.0,2000000.0
Piston,210.0,174.0,167.0,55.0,93,1200.0,1435.0,1465.0,4200.0,2615.0,29.0,38.0,922.0,2050000.0
Piston,210.0,159.0,150.0,52.0,93,1300.0,1145.0,1395.0,3900.0,2320.0,29.0,38.0,880.0,1900000.0
Propjet,675.0,182.0,154.0,61.0,335,1234.0,2053.0,1655.0,8000.0,3973.0,37.0,52.0,866.0,2500000.0
Propjet,675.0,186.0,154.0,61.0,335,975.0,2420.0,1880.0,8750.0,4765.0,41.0,52.0,810.0,2370000.0
Piston,325.0,224.0,212.0,55.0,85,1150.0,2110.0,1600.0,4100.0,2471.0,28.0,38.0,715.0,2500000.0
Piston,310.0,201.0,191.0,58.0,90,945.0,2160.0,1500.0,4000.0,2481.0,28.0,36.0,661.0,2300000.0
Piston,325.0,224.0,207.0,55.0,87,1150.0,2110.0,1600.0,4100.0,2320.0,28.0,38.0,715.0,2900000.0
Piston,310.0,204.0,192.0,58.0,90,930.0,2160.0,1500.0,4000.0,2303.0,28.0,36.0,715.0,2700000.0
Piston,310.0,204.0,197.0,57.0,90,1030.0,1900.0,1500.0,3800.0,2306.0,28.0,36.0,732.0,2850000.0
